vru.line,call_id,customer_id,priority,type,date,vru_entry,vru_exit,vru_time,q_start,q_exit,q_time,outcome,ser_start,ser_exit,ser_time,server,startdate
AA0101,33134,0,0,PS,1999-01-01,11:07:30,11:07:38,8,00:00:00,00:00:00,0,AGENT,11:07:43,11:07:46,3,NO_SERVER,0
AA0101,33135,0,0,PS,1999-01-01,11:23:55,11:24:04,9,00:00:00,00:00:00,0,AGENT,11:24:03,11:24:55,52,YITZ,0
AA0101,4590,50698984,2,PS,1999-01-01,11:35:18,11:35:23,5,11:35:23,11:36:15,52,AGENT,11:36:15,11:38:14,119,BASCH,0
AA0101,33137,0,0,PS,1999-01-01,11:49:27,11:49:38,11,00:00:00,00:00:00,0,AGENT,11:49:37,11:49:48,11,VICKY,0
AA0101,33138,0,0,PS,1999-01-01,12:09:22,12:09:32,10,00:00:00,00:00:00,0,AGENT,12:09:31,12:10:58,87,YITZ,0
AA0101,33139,0,0,NW,1999-01-01,12:25:30,12:25:43,13,00:00:00,00:00:00,0,AGENT,12:25:42,12:26:08,26,YITZ,0
AA0101,33140,0,0,PS,1999-01-01,12:49:43,12:49:56,13,00:00:00,00:00:00,0,AGENT,12:49:56,12:56:18,382,VICKY,0
AA0101,2476,27347905,1,PS,1999-01-01,13:12:08,13:12:13,5,13:12:13,13:14:05,112,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0101,33142,0,0,PS,1999-01-01,13:34:28,13:34:38,10,00:00:00,00:00:00,0,AGENT,13:34:37,13:37:22,165,ZOHARI,0
AA0101,33143,0,0,PS,1999-01-01,13:49:47,13:49:57,10,00:00:00,00:00:00,0,AGENT,13:49:56,13:52:43,167,VICKY,0
AA0101,33144,0,0,PS,1999-01-01,14:07:17,14:07:34,17,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0101,33146,0,0,PE,1999-01-01,14:43:10,14:43:10,0,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0102,28423,0,0,PS,1999-01-01,00:36:59,00:36:59,0,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0102,28424,0,0,PS,1999-01-01,07:06:32,07:06:42,10,00:00:00,00:00:00,0,AGENT,07:06:41,07:08:28,107,MORIAH,0
AA0102,28425,0,0,NW,1999-01-01,07:41:53,07:42:09,16,00:00:00,00:00:00,0,AGENT,07:42:08,07:42:35,27,YITZ,0
AA0102,28426,0,0,PS,1999-01-01,08:05:52,08:06:03,11,00:00:00,00:00:00,0,AGENT,08:06:03,08:07:36,93,KAZAV,0
AA0102,28427,0,0,PS,1999-01-01,08:19:09,08:19:18,9,00:00:00,00:00:00,0,AGENT,08:19:17,08:19:21,4,MORIAH,0
AA0102,28428,0,0,NW,1999-01-01,08:28:47,08:28:57,10,08:28:57,08:29:29,32,AGENT,08:29:28,08:30:12,44,AVNI,0
AA0102,135,1279249,2,PS,1999-01-01,08:43:03,08:43:09,6,08:43:09,08:43:39,30,AGENT,08:43:38,08:44:53,75,SHARON,0
AA0102,28430,0,0,PS,1999-01-01,08:53:36,08:53:46,10,00:00:00,00:00:00,0,AGENT,08:53:45,09:11:04,1039,KAZAV,0
AA0102,28431,0,0,PS,1999-01-01,09:05:58,09:06:08,10,00:00:00,00:00:00,0,AGENT,09:06:07,09:10:20,253,MORIAH,0
AA0102,28432,0,0,PS,1999-01-01,09:18:05,09:18:15,10,00:00:00,00:00:00,0,AGENT,09:18:14,09:19:20,66,SHARON,0
AA0102,28433,0,0,PS,1999-01-01,09:28:57,09:29:09,12,00:00:00,00:00:00,0,AGENT,09:29:08,09:30:03,55,AVNI,0
AA0102,3127,29641727,2,PS,1999-01-01,09:42:01,09:42:07,6,09:42:07,09:42:24,17,AGENT,09:42:23,09:43:14,51,BASCH,0
AA0102,32292,306071283,1,PS,1999-01-01,09:49:40,09:49:46,6,09:49:46,09:50:51,65,AGENT,09:50:50,09:52:17,87,YITZ,0
AA0102,28436,0,0,PS,1999-01-01,10:05:22,10:05:32,10,00:00:00,00:00:00,0,AGENT,10:05:30,10:09:54,264,KAZAV,0
AA0102,28437,0,0,PS,1999-01-01,10:26:38,10:26:46,8,00:00:00,00:00:00,0,AGENT,10:26:46,10:29:47,181,MICHAL,0
AA0102,28438,0,0,PS,1999-01-01,10:38:49,10:39:00,11,00:00:00,00:00:00,0,AGENT,10:38:58,10:39:59,61,MICHAL,0
AA0102,28439,0,0,PS,1999-01-01,10:53:37,10:53:46,9,00:00:00,00:00:00,0,AGENT,10:53:46,10:56:04,138,KAZAV,0
AA0102,28440,0,0,PS,1999-01-01,11:08:05,11:08:19,14,00:00:00,00:00:00,0,AGENT,11:08:18,11:13:51,333,MICHAL,0
AA0102,28441,0,0,NW,1999-01-01,11:25:07,11:25:19,12,00:00:00,00:00:00,0,AGENT,11:25:18,11:25:27,9,MORIAH,0
AA0102,3009,28532034,1,PS,1999-01-01,11:36:30,11:36:36,6,11:36:36,11:37:28,52,AGENT,11:37:27,11:38:28,61,SHARON,0
AA0102,3585,33991712,1,PS,1999-01-01,11:50:44,11:50:49,5,11:50:49,11:51:40,51,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0102,28444,0,0,NW,1999-01-01,12:11:43,12:11:56,13,00:00:00,00:00:00,0,AGENT,12:11:56,12:12:54,58,YITZ,0
AA0102,28445,0,0,PS,1999-01-01,12:27:55,12:28:04,9,00:00:00,00:00:00,0,AGENT,12:28:03,12:29:32,89,BASCH,0
AA0102,28446,0,0,NW,1999-01-01,12:51:11,12:51:26,15,00:00:00,00:00:00,0,AGENT,12:51:25,12:52:05,40,YITZ,0
AA0102,3417,32396962,1,PS,1999-01-01,13:15:36,13:15:42,6,13:15:42,13:17:37,115,AGENT,13:17:36,13:19:06,90,VICKY,0
AA0102,6296,59702910,1,PS,1999-01-01,13:35:17,13:35:23,6,13:35:23,13:37:25,122,AGENT,13:37:24,13:40:01,157,VICKY,0
AA0102,641,6077978,2,PS,1999-01-01,13:51:33,13:51:38,5,13:51:38,13:51:49,11,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0102,28450,0,0,PS,1999-01-01,14:16:03,14:16:16,13,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0102,28451,0,0,PS,1999-01-01,14:50:31,14:51:01,30,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0103,24036,0,0,PS,1999-01-01,00:37:32,00:37:32,0,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0103,24037,0,0,PS,1999-01-01,07:08:58,07:09:07,9,00:00:00,00:00:00,0,AGENT,07:09:07,07:11:07,120,MICHAL,0
AA0103,24038,0,0,PS,1999-01-01,07:42:37,07:42:48,11,00:00:00,00:00:00,0,AGENT,07:42:47,07:44:30,103,MORIAH,0
AA0103,24039,0,0,NW,1999-01-01,08:06:11,08:06:23,12,00:00:00,00:00:00,0,AGENT,08:06:23,08:07:17,54,YITZ,0
AA0103,24040,0,0,PS,1999-01-01,08:19:39,08:19:48,9,00:00:00,00:00:00,0,AGENT,08:19:47,08:22:09,142,VICKY,0
AA0103,24041,0,0,NW,1999-01-01,08:29:12,08:29:21,9,08:29:21,08:29:40,19,AGENT,08:29:38,08:30:30,52,MICHAL,0
AA0103,6673,53473757,2,PS,1999-01-01,08:43:41,08:43:47,6,08:43:47,08:44:45,58,AGENT,08:44:44,08:47:59,195,YITZ,0
AA0103,24043,0,0,PS,1999-01-01,08:54:39,08:54:48,9,00:00:00,00:00:00,0,AGENT,08:54:48,08:59:14,266,YITZ,0
AA0103,3188,25551813,1,PS,1999-01-01,09:06:40,09:06:46,6,09:06:46,09:07:04,18,AGENT,09:07:03,09:07:18,15,MICHAL,0
AA0103,24045,0,0,PS,1999-01-01,09:19:12,09:19:22,10,00:00:00,00:00:00,0,AGENT,09:19:20,09:20:09,49,YITZ,0
AA0103,24046,0,0,PS,1999-01-01,09:30:05,09:30:20,15,00:00:00,00:00:00,0,AGENT,09:30:18,09:32:20,122,BASCH,0
AA0103,1926,15441082,2,PS,1999-01-01,09:43:01,09:43:06,5,09:43:06,09:43:19,13,AGENT,09:43:19,09:45:01,102,BASCH,0
AA0103,24048,0,0,NW,1999-01-01,09:53:42,09:53:56,14,00:00:00,00:00:00,0,AGENT,09:53:55,09:56:28,153,MICHAL,0
AA0103,24049,0,0,PS,1999-01-01,10:08:48,10:09:05,17,00:00:00,00:00:00,0,AGENT,10:09:05,10:10:10,65,MORIAH,0
AA0103,24050,0,0,PS,1999-01-01,10:27:26,10:27:41,15,00:00:00,00:00:00,0,AGENT,10:27:40,10:35:04,444,BASCH,0
AA0103,24051,0,0,NW,1999-01-01,10:40:49,10:41:02,13,00:00:00,00:00:00,0,AGENT,10:41:02,10:42:10,68,NO_SERVER,0
AA0103,24052,0,0,PS,1999-01-01,10:57:13,10:57:31,18,00:00:00,00:00:00,0,AGENT,10:57:31,11:01:00,209,YITZ,0
AA0103,24053,0,0,PS,1999-01-01,11:10:22,11:10:35,13,00:00:00,00:00:00,0,AGENT,11:10:34,11:10:40,6,NO_SERVER,0
AA0103,24054,0,0,PS,1999-01-01,11:27:01,11:27:10,9,00:00:00,00:00:00,0,AGENT,11:27:09,11:36:14,545,AVNI,0
AA0103,24055,0,0,PS,1999-01-01,11:40:15,11:40:24,9,00:00:00,00:00:00,0,AGENT,11:40:24,11:46:32,368,YITZ,0
AA0103,24056,0,0,PS,1999-01-01,11:55:18,11:55:27,9,00:00:00,00:00:00,0,AGENT,11:55:27,12:22:06,1599,AVNI,0
AA0103,7218,57882755,2,PS,1999-01-01,12:13:00,12:13:06,6,12:13:06,12:13:10,4,AGENT,12:13:09,12:14:28,79,BASCH,0
AA0103,24058,0,0,NW,1999-01-01,12:31:20,12:31:33,13,00:00:00,00:00:00,0,AGENT,12:31:32,12:33:07,95,AVNI,0
AA0103,24059,0,0,PS,1999-01-01,12:53:30,12:53:41,11,00:00:00,00:00:00,0,AGENT,12:53:40,13:00:10,390,SHARON,0
AA0103,24060,0,0,NW,1999-01-01,13:18:29,13:18:39,10,13:18:39,13:19:18,39,AGENT,13:19:17,13:23:52,275,AVNI,0
AA0103,2864,22972384,1,PS,1999-01-01,13:36:39,13:36:45,6,13:36:45,13:39:40,175,AGENT,13:39:39,13:42:26,167,ZOHARI,0
AA0103,24062,0,0,NW,1999-01-01,13:52:01,13:52:11,10,13:52:11,13:52:57,46,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0103,24063,0,0,NW,1999-01-01,14:17:16,14:17:26,10,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0103,24064,0,0,PS,1999-01-01,14:51:44,14:52:05,21,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0104,20696,0,0,NW,1999-01-01,00:39:43,00:40:17,34,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0104,20697,0,0,PS,1999-01-01,07:09:22,07:09:34,12,00:00:00,00:00:00,0,AGENT,07:09:33,07:10:38,65,BASCH,0
AA0104,20698,0,0,PS,1999-01-01,07:43:47,07:43:56,9,00:00:00,00:00:00,0,AGENT,07:43:55,07:47:42,227,YITZ,0
AA0104,20699,0,0,PS,1999-01-01,08:07:50,08:08:07,17,00:00:00,00:00:00,0,AGENT,08:08:07,08:15:24,437,VICKY,0
AA0104,20700,0,0,PS,1999-01-01,08:20:02,08:20:11,9,00:00:00,00:00:00,0,AGENT,08:20:10,08:21:30,80,BASCH,0
AA0104,20701,0,0,NW,1999-01-01,08:29:24,08:29:34,10,08:29:34,08:29:45,11,AGENT,08:29:45,08:29:57,12,SHARON,0
AA0104,4919,33945262,1,PS,1999-01-01,08:44:44,08:44:49,5,08:44:49,08:44:57,8,AGENT,08:44:57,08:46:25,88,SHARON,0
AA0104,20703,0,0,NW,1999-01-01,08:54:57,08:55:09,12,00:00:00,00:00:00,0,AGENT,08:55:08,08:55:48,40,BASCH,0
AA0104,8122,56051360,2,PS,1999-01-01,09:07:08,09:07:14,6,09:07:14,09:07:20,6,AGENT,09:07:19,09:11:27,248,BASCH,0
AA0104,20705,0,0,PS,1999-01-01,09:19:35,09:19:46,11,00:00:00,00:00:00,0,AGENT,09:19:45,09:24:04,259,SHARON,0
AA0104,20706,0,0,NW,1999-01-01,09:31:12,09:31:22,10,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0104,3322,22928584,2,PS,1999-01-01,09:43:26,09:43:32,6,09:43:32,09:44:14,42,AGENT,09:44:13,09:46:50,157,MORIAH,0
AA0104,20708,0,0,PS,1999-01-01,09:55:21,09:55:32,11,00:00:00,00:00:00,0,AGENT,09:55:31,09:59:22,231,KAZAV,0
AA0104,20709,0,0,PS,1999-01-01,10:10:54,10:11:07,13,00:00:00,00:00:00,0,AGENT,10:11:06,10:11:40,34,KAZAV,0
AA0104,20710,0,0,PS,1999-01-01,10:27:33,10:27:47,14,00:00:00,00:00:00,0,AGENT,10:27:47,10:35:45,478,MORIAH,0
AA0104,20711,0,0,PS,1999-01-01,10:41:12,10:41:22,10,00:00:00,00:00:00,0,AGENT,10:41:21,10:45:47,266,KAZAV,0
AA0104,20712,0,0,PS,1999-01-01,10:57:41,10:57:52,11,00:00:00,00:00:00,0,AGENT,10:57:51,10:59:55,124,AVNI,0
AA0104,20713,0,0,PS,1999-01-01,11:11:12,11:11:21,9,00:00:00,00:00:00,0,AGENT,11:11:20,11:14:50,210,BASCH,0
AA0104,20714,0,0,NW,1999-01-01,11:27:21,11:27:36,15,00:00:00,00:00:00,0,AGENT,11:27:35,11:28:52,77,BASCH,0
AA0104,44527,307460295,1,PS,1999-01-01,11:41:03,11:41:08,5,11:41:08,11:41:32,24,AGENT,11:41:31,11:42:34,63,KAZAV,0
AA0104,20716,0,0,PS,1999-01-01,11:56:26,11:56:37,11,00:00:00,00:00:00,0,AGENT,11:56:36,11:57:52,76,SHARON,0
AA0104,20717,0,0,PS,1999-01-01,12:14:55,12:15:03,8,00:00:00,00:00:00,0,AGENT,12:15:08,12:15:10,2,NO_SERVER,0
AA0104,20718,0,0,PS,1999-01-01,12:34:12,12:34:20,8,00:00:00,00:00:00,0,AGENT,12:34:19,12:36:05,106,AVNI,0
AA0104,20719,0,0,PS,1999-01-01,12:57:20,12:57:29,9,00:00:00,00:00:00,0,AGENT,12:57:29,12:58:48,79,YITZ,0
AA0104,2011,13887716,2,PS,1999-01-01,13:20:15,13:20:20,5,13:20:20,13:20:21,1,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0104,4746,32783698,1,PS,1999-01-01,13:39:37,13:39:43,6,13:39:43,13:40:06,23,AGENT,13:40:06,13:42:45,159,VICKY,0
AA0104,3696,25526336,1,PS,1999-01-01,13:53:10,13:53:15,5,13:53:15,13:54:22,67,AGENT,13:54:22,13:54:55,33,SHARON,0
AA0104,20723,0,0,PS,1999-01-01,14:21:15,14:21:27,12,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0104,20724,0,0,NW,1999-01-01,16:04:02,16:04:24,22,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0105,33290,0,0,PS,1999-01-01,00:45:42,00:46:16,34,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0105,419,4654307,2,PS,1999-01-01,07:09:42,07:09:48,6,07:09:48,07:11:06,78,AGENT,07:11:06,07:12:21,75,BASCH,0
AA0105,2668,29605961,1,PS,1999-01-01,07:43:47,07:43:53,6,07:43:53,07:44:58,65,AGENT,07:44:57,07:46:23,86,BASCH,0
AA0105,33293,0,0,NW,1999-01-01,08:08:38,08:08:55,17,00:00:00,00:00:00,0,AGENT,08:08:54,08:09:37,43,MICHAL,0
AA0105,33294,0,0,PS,1999-01-01,08:20:07,08:20:16,9,00:00:00,00:00:00,0,AGENT,08:20:15,08:22:01,106,MORIAH,0
AA0105,33295,0,0,PS,1999-01-01,08:29:26,08:29:35,9,00:00:00,00:00:00,0,AGENT,08:29:35,08:58:31,1736,VICKY,0
AA0105,3047,33823170,1,PS,1999-01-01,08:43:09,08:43:14,5,08:43:14,08:43:51,37,AGENT,08:43:51,08:48:18,267,MORIAH,0
AA0105,33297,0,0,PS,1999-01-01,08:54:18,08:54:29,11,00:00:00,00:00:00,0,AGENT,08:54:28,08:58:45,257,MICHAL,0
AA0105,33298,0,0,PS,1999-01-01,09:06:07,09:06:20,13,00:00:00,00:00:00,0,AGENT,09:06:18,09:07:02,44,BASCH,0
AA0105,33299,0,0,PS,1999-01-01,09:18:23,09:18:34,11,00:00:00,00:00:00,0,AGENT,09:18:33,09:23:11,278,VICKY,0
AA0105,33300,0,0,PS,1999-01-01,09:29:57,09:30:07,10,00:00:00,00:00:00,0,AGENT,09:30:06,09:39:08,542,KAZAV,0
AA0105,2574,28575710,1,PS,1999-01-01,09:42:45,09:42:51,6,09:42:51,09:42:56,5,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0105,33302,0,0,PS,1999-01-01,09:53:27,09:53:37,10,00:00:00,00:00:00,0,AGENT,09:53:35,09:53:48,13,YITZ,0
AA0105,33303,0,0,PS,1999-01-01,10:08:22,10:08:32,10,00:00:00,00:00:00,0,AGENT,10:08:31,10:10:41,130,YITZ,0
AA0105,33304,0,0,NW,1999-01-01,10:27:22,10:27:41,19,00:00:00,00:00:00,0,AGENT,10:27:42,10:27:48,6,NO_SERVER,0
AA0105,33305,0,0,NW,1999-01-01,10:40:05,10:40:40,35,00:00:00,00:00:00,0,AGENT,10:40:40,10:43:39,179,MICHAL,0
AA0105,33306,0,0,NW,1999-01-01,10:56:02,10:56:15,13,00:00:00,00:00:00,0,AGENT,10:56:15,10:58:14,119,MICHAL,0
AA0105,2303,25566076,1,PS,1999-01-01,11:09:50,11:09:56,6,11:09:56,11:10:02,6,AGENT,11:10:02,11:10:59,57,SHARON,0
AA0105,33308,0,0,NW,1999-01-01,11:26:53,11:27:06,13,00:00:00,00:00:00,0,AGENT,11:27:05,11:27:17,12,YITZ,0
AA0105,33309,0,0,PS,1999-01-01,11:40:07,11:40:18,11,00:00:00,00:00:00,0,AGENT,11:40:18,11:42:06,108,SHARON,0
AA0105,33310,0,0,PS,1999-01-01,11:53:25,11:53:36,11,00:00:00,00:00:00,0,AGENT,11:53:36,12:01:29,473,YITZ,0
AA0105,33312,0,0,PS,1999-01-01,12:13:14,12:13:14,0,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0105,33313,0,0,PS,1999-01-01,12:32:41,12:32:51,10,00:00:00,00:00:00,0,AGENT,12:32:50,12:36:16,206,VICKY,0
AA0105,33314,0,0,PS,1999-01-01,12:53:34,12:53:44,10,00:00:00,00:00:00,0,AGENT,12:53:43,12:57:47,244,AVNI,0
AA0105,33315,0,0,PS,1999-01-01,13:20:09,13:20:17,8,00:00:00,00:00:00,0,AGENT,13:20:16,13:21:06,50,SHARON,0
AA0105,2586,28716413,2,PS,1999-01-01,13:36:48,13:36:54,6,13:36:54,13:39:49,175,AGENT,13:39:48,13:41:37,109,SHARON,0
AA0105,337,3745999,2,PS,1999-01-01,13:52:03,13:52:09,6,13:52:09,13:53:50,101,AGENT,13:53:50,13:58:33,283,ZOHARI,0
AA0105,33318,0,0,PS,1999-01-01,14:20:34,14:20:52,18,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0105,33319,0,0,NW,1999-01-01,15:38:39,15:39:17,38,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0106,1946,22090179,2,PS,1999-01-01,00:00:02,00:00:08,6,00:00:08,00:02:28,140,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0106,34055,0,0,PS,1999-01-01,00:48:35,00:49:05,30,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0106,34056,0,0,PE,1999-01-01,07:15:53,07:16:00,7,00:00:00,00:00:00,0,AGENT,07:15:59,07:17:34,95,MORIAH,0
AA0106,2611,29640687,1,PS,1999-01-01,07:45:05,07:45:11,6,07:45:11,07:45:50,39,AGENT,07:45:49,07:46:12,23,MICHAL,0
AA0106,34058,0,0,PS,1999-01-01,08:09:18,08:09:30,12,00:00:00,00:00:00,0,AGENT,08:09:30,08:12:36,186,AVNI,0
AA0106,1554,17642224,2,PS,1999-01-01,08:20:30,08:20:36,6,08:20:36,08:22:02,86,AGENT,08:22:01,08:22:51,50,SHARON,0
AA0106,104,1178565,2,PS,1999-01-01,08:29:48,08:29:53,5,08:29:53,08:30:04,11,AGENT,08:30:02,08:32:12,130,SHARON,0
AA0106,5042,57240095,1,PS,1999-01-01,08:45:16,08:45:22,6,08:45:22,08:45:35,13,AGENT,08:45:35,08:46:43,68,KAZAV,0
AA0106,4842,54970835,2,PS,1999-01-01,08:55:36,08:55:42,6,08:55:42,08:55:54,12,AGENT,08:55:53,08:56:32,39,BASCH,0
AA0106,2986,33907080,2,PS,1999-01-01,09:07:10,09:07:16,6,09:07:16,09:07:30,14,AGENT,09:07:29,09:09:22,113,MICHAL,0
AA0106,34064,0,0,PS,1999-01-01,09:20:27,09:20:46,19,00:00:00,00:00:00,0,AGENT,09:20:45,09:24:59,254,AVNI,0
AA0106,34065,0,0,PS,1999-01-01,09:31:26,09:31:43,17,00:00:00,00:00:00,0,AGENT,09:31:42,09:34:19,157,AVNI,0
AA0106,34066,0,0,PS,1999-01-01,09:43:24,09:43:34,10,00:00:00,00:00:00,0,AGENT,09:43:33,09:44:22,49,KAZAV,0
AA0106,34067,0,0,PS,1999-01-01,09:54:46,09:55:04,18,00:00:00,00:00:00,0,AGENT,09:55:04,09:56:06,62,BASCH,0
AA0106,34068,0,0,PS,1999-01-01,10:09:50,10:10:01,11,00:00:00,00:00:00,0,AGENT,10:10:00,10:20:58,658,VICKY,0
AA0106,34069,0,0,PS,1999-01-01,10:27:30,10:27:40,10,00:00:00,00:00:00,0,AGENT,10:27:39,10:32:21,282,KAZAV,0
AA0106,34070,0,0,PS,1999-01-01,10:39:56,10:40:08,12,00:00:00,00:00:00,0,AGENT,10:40:07,10:44:47,280,VICKY,0
AA0106,34071,0,0,PS,1999-01-01,10:55:41,10:55:51,10,00:00:00,00:00:00,0,AGENT,10:55:50,10:57:12,82,VICKY,0
AA0106,2817,31990781,1,PS,1999-01-01,11:09:41,11:09:47,6,11:09:47,11:09:51,4,AGENT,11:09:51,11:13:08,197,KAZAV,0
AA0106,34073,0,0,PS,1999-01-01,11:26:25,11:26:33,8,00:00:00,00:00:00,0,AGENT,11:26:33,11:40:02,809,KAZAV,0
AA0106,2974,33775503,1,PS,1999-01-01,11:37:56,11:38:01,5,11:38:01,11:38:19,18,AGENT,11:38:19,11:54:01,942,BASCH,0
AA0106,5042,57271009,2,PS,1999-01-01,11:50:56,11:51:01,5,11:51:01,11:51:43,42,AGENT,11:51:43,11:52:55,72,VICKY,0
AA0106,5940,67472894,2,PS,1999-01-01,12:12:10,12:12:16,6,12:12:16,12:13:01,45,AGENT,12:13:00,12:15:24,144,YITZ,0
AA0106,34077,0,0,PS,1999-01-01,12:31:13,12:31:24,11,00:00:00,00:00:00,0,AGENT,12:31:23,12:34:11,168,SHARON,0
AA0106,34078,0,0,NW,1999-01-01,12:52:48,12:53:00,12,00:00:00,00:00:00,0,AGENT,12:52:59,12:54:39,100,KAZAV,0
AA0106,3306,37556602,1,PS,1999-01-01,13:18:03,13:18:08,5,13:18:08,13:19:11,63,AGENT,13:19:10,13:20:25,75,VICKY,0
AA0106,27645,314046095,1,PS,1999-01-01,13:35:24,13:35:30,6,13:35:30,13:37:34,124,AGENT,13:37:33,13:39:34,121,ZOHARI,0
AA0106,34081,0,0,NW,1999-01-01,13:51:53,13:52:03,10,13:52:03,13:53:14,71,AGENT,13:53:13,13:54:17,64,SHARON,0
AA0106,34083,0,0,PS,1999-01-01,14:18:26,14:18:26,0,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0106,34084,0,0,NW,1999-01-01,15:03:39,15:04:07,28,00:00:00,00:00:00,0,HANG,00:00:00,00:00:00,0,NO_SERVER,0
AA0107,2023,0,0,TT,1999-01-01,07:04:42,07:04:44,2,00:00:00,00:00:00,0,AGENT,07:04:43,07:04:43,0,YITZ,0
AA0107,2024,0,0,TT,1999-01-01,09:23:56,09:23:56,0,09:23:56,09:24:11,15,AGENT,09:24:11,09:24:11,0,SHARON,0
AA0107,79855,53902169,2,TT,1999-01-01,10:20:44,10:20:47,3,00:00:00,00:00:00,0,AGENT,10:20:45,10:20:56,11,BASCH,0
